dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
01M292,Orchard Collegiate Academy,220 Henry Street,Manhattan,10002,40.713684,-73.986336,9 to 12,"F to East Broadway; J, M, Z to Delancey St-Essex St",0.95999998,0.88999999,0.92000002,0.72000003
01M448,University Neighborhood High School,200 Monroe Street,Manhattan,10002,40.712399,-73.984497,9 to 12,"F to East Broadway; J, M, Z to Delancey St-Essex St",0.94999999,0.94,0.91000003,0.75999999
01M450,East Side Community School,420 East 12th Street,Manhattan,10009,40.729589,-73.982555,6 to 12,6 to Astor Place; L to 1st Ave,0.93000001,0.89999998,0.94,0.81999999
01M458,Forsyth Satellite Academy,198 Forsyth Street,Manhattan,10002,40.72252,-73.990728,9 to 12,,0.94999999,,0.54000002,
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",111 Columbia Street,Manhattan,10002,40.718895,-73.979308,K to 12,"F, J, M, Z to Delancey St-Essex St",0.89999998,1,0.94999999,0.92000002
01M696,Bard High School Early College,525 East Houston Street,Manhattan,10002,40.719029,-73.975891,9 to 12,N/A,0.94999999,0.99000001,0.94999999,0.98000002
02M047,47 The American Sign Language and English Secondary School,223 East 23rd Street,Manhattan,10010,40.738548,-73.982455,9 to 12,"6 to 23rd St; L to 3rd Ave; R, W to 23rd St",0.94,0.93000001,0.89999998,0.74000001
02M135,"Urban Assembly School for Emergency Management, The",411 Pearl Street,Manhattan,10038,40.711442,-74.000851,9 to 12,"2, 3, 4, 5, A, C, J, Z to Fulton St; N, Q to Canal St; R, W to City Hall",0.85000002,0.89999998,0.86000001,0.63999999
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,439 West 49th Street,Manhattan,10019,40.76337,-73.9906,9 to 12,"1, C, E to 50th St; 2, 3, 7, A, S to Times Square-42nd St; B, D to 7th Ave; N, R, W to 49th St",0.88,0.88,0.85000002,0.55000001
02M260,"Clinton School, The",10 East 15th Street,Manhattan,10003,40.736518,-73.992725,6 to 12,"1, 2, 3, F, M to 14th St; 4, 5, 6, L, N, Q, R, W to Union Square; A, C, E, B, D to West 4th St",0.94999999,0.89999998,0.94999999,
02M280,Manhattan Early College School for Advertising,411 Pearl Street,Manhattan,10038,40.711442,-74.000851,9 to 14,"2, 3, 4, 5, A, C, J, Z to Fulton St; N, Q to Canal St; R, W to City Hall",0.88,0.95999998,0.88999999,0.85000002
02M282,Urban Assembly Maker Academy,411 Pearl Street,Manhattan,10038,40.711442,-74.000851,9 to 12,"2, 3, 4, 5, A, C, J, Z to Fulton St; N, Q to Canal St; R, W to City Hall",0.93000001,0.89999998,0.88999999,0.79000002
02M288,Food and Finance High School,525 West 50th Street,Manhattan,10019,40.76525,-73.993105,9 to 12,"C, E to 50th St",0.61000001,0.85000002,0.88,0.74000001
02M294,Essex Street Academy,350 Grand Street,Manhattan,10002,40.717349,-73.989596,9 to 12,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",0.93000001,0.89999998,0.88999999,0.77999997
02M296,High School of Hospitality Management,525 West 50th Street,Manhattan,10019,40.76525,-73.993105,9 to 12,"C, E to 50th St",0.83999997,0.75999999,0.83999997,0.63
02M298,Pace High School,100 Hester Street,Manhattan,10002,40.716553,-73.993092,9 to 12,"6, N, Q, R, W to Canal St; B, D to Grand St; F to East Broadway; J, Z to Bowery; M to Delancey St-Essex St",0.91000003,0.85000002,0.87,0.55000001
02M300,"Urban Assembly School of Design and Construction, The",525 West 50th Street,Manhattan,10019,40.76525,-73.993105,9 to 12,"C, E to 50th St",0.87,0.73000002,0.81,0.62
02M303,"Facing History School, The",525 West 50th Street,Manhattan,10019,40.76525,-73.993105,9 to 12,"C, E to 50th St",0.88,0.82999998,0.80000001,0.55000001
02M305,"Urban Assembly Academy of Government and Law, The",350 Grand Street,Manhattan,10002,40.717349,-73.989596,9 to 12,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",0.81999999,0.88999999,0.85000002,0.50999999
